i -> 1  1 100
i -> 2  1 1
i -> 3  0 0
i -> 4  2 100
i -> 5  1 2
i -> 6  0 0
i -> 7  0 0
i -> 8  2 2
i -> 9  3 100
i -> 10  1 3
i -> 11  0 0
i -> 12  4 114
i -> 13  2 3
i -> 14  0 0
i -> 15  0 0
i -> 16  4 100
i -> 17  1 4
i -> 18  3 3
i -> 19  0 0
i -> 20  2 4
i -> 21  5 114
i -> 22  0 0
i -> 23  0 0
i -> 24  10 118
i -> 25  1 32
i -> 26  1 5
i -> 27  0 0
i -> 28  2 32
i -> 29  2 5
i -> 30  0 0
i -> 31  0 0
i -> 32  4 4
i -> 33  3 32
i -> 34  3 5
i -> 35  0 0
i -> 36  6 100
i -> 37  1 6
i -> 38  0 0
i -> 39  0 0
i -> 40  2 6
i -> 41  4 5
i -> 42  1 71
i -> 43  0 0
i -> 44  10 212
i -> 45  1 138
i -> 46  0 0
i -> 47  0 0
i -> 48  2 138
i -> 49  5 32
i -> 50  1 7
i -> 51  0 0
i -> 52  4 6
i -> 53  2 7
i -> 54  0 0
i -> 55  0 0
i -> 56  10 134
i -> 57  1 84
i -> 58  3 7
i -> 59  0 0
i -> 60  2 84
i -> 61  5 6
i -> 62  0 0
i -> 63  0 0
i -> 64  8 100
i -> 65  1 8
i -> 66  5 71
i -> 67  0 0
i -> 68  2 8
i -> 69  5 138
i -> 70  0 0
i -> 71  0 0
i -> 72  4 84
i -> 73  3 8
i -> 74  5 7
i -> 75  0 0
i -> 76  10 176
i -> 77  1 226
i -> 78  0 0
i -> 79  0 0
i -> 80  2 226
i -> 81  5 84
i -> 82  1 9
i -> 83  0 0
i -> 84  10 228
i -> 85  1 78
i -> 86  0 0
i -> 87  0 0
i -> 88  2 78
i -> 89  5 8
i -> 90  1 33
i -> 91  0 0
i -> 92  4 226
i -> 93  2 33
i -> 94  0 0
i -> 95  0 0
i -> 96  10 114
i -> 97  1 64
i -> 98  3 33
i -> 99  0 0
i -> 100  2 64
i -> 101  1 10
i -> 102  0 0
i -> 103  0 0
i -> 104  2 10
i -> 105  1 152
i -> 106  5 9
i -> 107  0 0
i -> 108  2 152
i -> 109  3 10
i -> 110  0 0
i -> 111  0 0
i -> 112  4 64
i -> 113  3 152
i -> 114  5 33
i -> 115  0 0
i -> 116  4 10
i -> 117  1 46
i -> 118  0 0
i -> 119  0 0
i -> 120  2 46
i -> 121  5 64
i -> 122  1 11
i -> 123  0 0
i -> 124  10 32
i -> 125  1 182
